,카페명,자치구,행정동,카테고리,분위기,이미지 주소
10,던킨 잠실본동점,강남구,일원동,다방,부드러운 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191104_213%2F1572863181508kPQYM_JPEG%2FE3QPsVGRy7WcJTRNYWsdgGqf.jpg
11,cafe HYE,강남구,일원동,베이글,부드러운 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221028_266%2F1666948937245FWoPX_JPEG%2FKakaoTalk_20220917_204748540.jpg
12,설빙 일원역점,강남구,일원동,블루보틀,다양한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210718_99%2F1626619401087ofRsQ_JPEG%2FBF6TLi9ig91Rdrl73RrvKcCR.jpg
13,레드애플 롯데백화점잠실점,강남구,일원동,베이글,다양한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210803_211%2F1627917610311E1Psm_JPEG%2FTvd9gaLPvwQpmwjdmYgb3CpO.jpg
14,펠어커피 잠실본동점,강남구,일원동,카페,아늑한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220214_57%2F1644823426520TPhcx_JPEG%2FKakaoTalk_20220121_112744455.jpg
15,할리스 수서점,강남구,일원동,카페,아늑한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210302_125%2F161464487124061agC_JPEG%2FK15utTFWXeuNEny1JMXiV57W.jpg
16,오후의 파이,강남구,일원동,"카페,디저트",깔끔한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190112_10%2F1547281141845PAQmb_JPEG%2FQYB2FV_-z8LNAHxK_oumU6-2.jpeg.jpg
17,카페드페소니아일원점,강남구,일원동,카페,깔끔한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjExMTZfMjIz%2FMDAxNjY4NTk4ODg2MDEz.-kCfB4vFakyGdiYyXuaIB2u6Kg9a3aEYpYFLp4-pxwgg.ulnRADIqhTZUOkcHjUH5U8XculHmd2B9wTGLq3AGMSMg.JPEG.clara801%2FIMG_2957.jpg
18,티의 수채화 TEA.CHAE,강남구,일원동,"카페,디저트",특별한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221214_142%2F1670989060224pERV7_JPEG%2F12%25BF%25F9%25BF%25C0%25C8%25C4_2.jpg
19,배스킨라빈스 잠실새내중앙점,강남구,일원동,아이스크림,편한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190207_263%2F1549518073913VHxxg_JPEG%2FWzOVG98BAb-9oaMe84QYeDV3.jpg
20,투썸플레이스 포이DI점,강남구,도곡동,카페,부드러운 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220919_1%2F1663577677135QJhft_JPEG%2FEF86B790-0384-4522-97A2-A3E547B2C61E.jpeg
21,리퍼크,강남구,도곡동,카페,부드러운 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201030_109%2F1604028940357nlCzS_JPEG%2FVPVsyoCKjD3sxgdSI8fvjP9u.jpg
22,크리에잇쿠키 역삼점,강남구,도곡동,"카페,디저트",다양한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170728_64%2F1501202870603tTo5o_JPEG%2F3.jpg
23,cafe MJ194,강남구,도곡동,"카페,디저트",다양한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220119_46%2F1642559506208vYcKs_JPEG%2Fimage.jpg
24,헤이베이글,강남구,도곡동,카페,아늑한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220310_15%2F1646879623708zjfYw_JPEG%2F60cm_%25B7%25CE%25B0%25ED1.jpg
25,SWCH,강남구,도곡동,"카페,디저트",깔끔한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220413_120%2F1649818387309U2qns_JPEG%2F20220413_115217.jpg
26,카페 아리,강남구,도곡동,"카페,디저트",깔끔한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200516_57%2F1589626071539ajCLq_JPEG%2Fc0gihVJZzolhO3zXJH5DtSWk.jpeg.jpg
27,꼼다비뛰드,강남구,도곡동,베이글,깔끔한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210403_52%2F1617459924276h6Ghe_JPEG%2FIMG_2625.
28,타르타르 강남역점,강남구,도곡동,카페,특별한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221111_70%2F16681680356663pVU2_JPEG%2FBT9A0438.jpg
29,커피스테이션,강남구,도곡동,카페,넓은 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjA5MjZfODYg%2FMDAxNjY0MTY1MDIxOTI5.ARr2CB9CocV5AVruGLVcDMGbnhynhP0IT-PEyVA0t9Ug.kQdJHdqtG-4phbwJThzj8v0DrEoAiqcimBpah6ZgtaEg.JPEG.balance220%2F20220914_131655.jpg
30,비포베이글 역삼,강남구,역삼동,바리스타,부드러운 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20220826_26%2F16615043866624hU2O_JPEG%2F%25BF%25C0%25B9%25C9%25B7%25BF.jpg
31,더달달,강남구,역삼동,"카페,디저트",부드러운 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200416_24%2F1587004964467zMvut_PNG%2FT35BYUA3DbXmdzQKuT6JJu7f.PNG.png
32,투썸플레이스 역삼역점,강남구,역삼동,카페,부드러운 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200522_82%2F15901209068162k5Cm_JPEG%2FImWdLKCdGSo_tUz1sEKywzSX.jpg
33,스타벅스 선릉역점,강남구,역삼동,카페,다양한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png
34,스타벅스 강남대로점,강남구,역삼동,카페,아늑한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png
35,트리플에이커피,강남구,역삼동,"카페,디저트",아늑한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200624_209%2F1592976082590Dk4yM_JPEG%2F6a-swTCwv8lBMRznSGWtn9Br.jpg
36,달콤커피 역삼역점,강남구,역삼동,카페,아늑한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200804_82%2F1596517948934nK7az_JPEG%2F20180817124351_ysst_m_01.jpg
37,스몰톡커피,강남구,역삼동,"카페,디저트",깔끔한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220514_285%2F1652503971344VquJO_JPEG%2F1647465609971_%25281%2529.jpg
38,블루보틀 역삼 카페,강남구,역삼동,브런치,특별한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210826_300%2F1629941815164fGmMH_JPEG%2F7RVvxdUxYs3VdVxdSJWXZYuO.jpg
39,엔제리너스 강남역사거리점,강남구,역삼동,카페,특별한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220905_13%2F16623678242693JsIs_JPEG%2F%25BF%25A3%25C1%25A9%25B7%25CE%25B0%25ED1.jpg
40,카페밤고개로,강남구,수서동,"카페,디저트",부드러운 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211119_37%2F1637282111126xmq9r_JPEG%2F193E1AD0-20E4-439F-A6B6-06A185553EAC.jpeg
41,버찌와 모모,강남구,수서동,"카페,디저트",부드러운 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220707_297%2F1657122892899xXQhF_JPEG%2FKakaoTalk_20220707_005302969_02.jpg
42,투썸플레이스 문정KD70점,강남구,수서동,카페,다양한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200511_211%2F158918048906793f6Q_JPEG%2F2RhgsFX6dA5J_Y3LQ1oEPoVP.jpg
43,커피빈 문정역엠스테이트점,강남구,수서동,카페,아늑한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201120_290%2F1605849882728A3cpz_JPEG%2FJVc7lsVSVSTjhghtXjT5yj93.jpg
44,카페리에또,강남구,수서동,"카페,디저트",깔끔한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181015_68%2F15395921311017rsUv_JPEG%2F-FU4Bjlh6MK3kbf9rIV3A7-l.jpg
45,빽다방 수서역점,강남구,수서동,테이크아웃커피,깔끔한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjAzMDVfOCAg%2FMDAxNjQ2NDg0MTEyODAx.aVaLiQp4FqAHyxjI29Ztmu3kSlH7CDk4Uyjvo3ht1bUg.O-VYdSlnalTaqpGh0iNnq4WCYw8nJ7CIThohWHJn7Wwg.JPEG.jinsilhot%2F1646483569660.jpg
46,카페 쿠도,강남구,수서동,"카페,디저트",깔끔한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221206_295%2F1670328475423VjDnj_JPEG%2F40B54F79-B96D-4699-A20B-A2441D7CE715.jpeg
47,플룬,강남구,수서동,"카페,디저트",편한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190901_185%2F1567312400226Elfes_JPEG%2FajGMAqEGcBxOoIdB-NrMRKFq.jpeg.jpg
48,이디야커피 가락몰점,강남구,수서동,카페,넓은 분위기,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201218_157%2F1608286215970a0JSl_JPEG%2FxBRBneDw4GnGoXMzpdHmNh8_.jpg
49,킹카롱,강남구,수서동,"카페,디저트",넓은 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190426_11%2F1556265303527WPwJo_JPEG%2FtWDFD_s6Z7JpOnAt5kc8ncuI.jpeg.jpg
50,세드라,강남구,대치동,"카페,디저트",부드러운 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200516_120%2F1589598215480FDwdy_JPEG%2FwlOWfhvEwo99ugtovulH4Pfz.jpg
51,배스킨라빈스 대치점,강남구,대치동,아이스크림,부드러운 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190207_263%2F1549518073913VHxxg_JPEG%2FWzOVG98BAb-9oaMe84QYeDV3.jpg
52,롤링핀 포스코 사거리점,강남구,대치동,베이글,다양한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F%2F20170219_213%2F1487510528260Wi2sz_JPEG%2FIMG_0758.
53,빈티지935,강남구,대치동,"카페,디저트",아늑한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170407_271%2F1491551156357AAQJK_JPEG%2F186357567574924_0.jpeg
54,헤일리스커피,강남구,대치동,"카페,디저트",아늑한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxOTAzMDRfMSAg%2FMDAxNTUxNjgwMjc4MDIx.tV3KUnfnSoVRb9MzdsLhTlCoKy7PbbnzEmc0lGB_Jkwg.58Pt2EoeJ27PhlWf_QMtNmEm-NesBTzKPUTgS59a_VMg.JPEG.choi_go__%2F20190304_122956.jpg
55,커피빈 삼성역글라스타워뒷점,강남구,대치동,카페,깔끔한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201112_2%2F1605147563103Uxg8i_JPEG%2FRcKXAdm1bqquQso_qK7w8q4u.jpg
56,파리바게뜨 대치역점,강남구,대치동,베이글,깔끔한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161226_89%2F1482736683370hqQ2f_JPEG%2F13.jpg
57,앙떼띠 커피로스터리,강남구,대치동,카페,특별한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221201_145%2F1669852049036hgSBk_JPEG%2FIMG_7994.jpg
58,커피오스 삼성점,강남구,대치동,카페,편한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220808_119%2F1659950216836HxmMo_JPEG%2F1659340991084-0.jpg
59,이디야커피 삼성대치점,강남구,대치동,카페,편한 분위기,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201218_157%2F1608286215970a0JSl_JPEG%2FxBRBneDw4GnGoXMzpdHmNh8_.jpg
60,로네펠트티하우스 선릉점,강남구,삼성동,"카페,디저트",부드러운 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200212_272%2F1581487835257EMpdV_JPEG%2FR3ySLXHul7-5ZgS8cgrQJB6x.jpg
61,로스터리 락온 선릉점,강남구,삼성동,"카페,디저트",부드러운 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220928_225%2F1664351648266386qg_JPEG%2FKakaoTalk_20220928_165247224_07.jpg
62,크리스피크림도넛 코엑스몰점,강남구,삼성동,다방,깔끔한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220826_115%2F166149031744176Q6B_JPEG%2F%25B3%25D7%25C0%25CC%25B9%25F6_%25B4%25EB%25C7%25A5%25C0%25CC%25B9%25CC%25C1%25F6_1_%25B4%25EB%25C1%25F6_1_%25B4%25EB%25C1%25F6_1.jpg
63,빨라쪼델프레도 코엑스몰점,강남구,삼성동,아이스크림,특별한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220711_100%2F16575297068184fUXg_JPEG%2F%25BB%25A1%25B6%25F3%25C2%25C9%25B5%25A8%25C7%25C1%25B7%25B9%25B5%25B5_%25BF%25B5%25B9%25AE%25B7%25CE%25B0%25ED640.jpg
64,산노루 삼성점,강남구,삼성동,"카페,디저트",특별한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210827_220%2F1630052505633nKJuL_JPEG%2FBUba9K7NXkZtKlhbfhQvNzUR.jpeg.jpg
65,키헤이커피,강남구,삼성동,"카페,디저트",편한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211229_77%2F16407789929958X4uB_JPEG%2F3Q9A0888.jpg
66,스무디킹 스타필드코엑스몰점,강남구,삼성동,공방,편한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200513_174%2F1589352388889dYFzV_JPEG%2Fqk8Z326h7EFBDs78KY-NOKaQ.jpg
67,파스쿠찌 선릉이노센스점,강남구,삼성동,카페,넓은 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210601_298%2F1622536045182tmAFy_JPEG%2F-tdXV-2n3j5WaXM4r-dLu9J5.jpg
68,바나프레소 선릉공원점,강남구,삼성동,바나프레소,넓은 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221201_222%2F1669855676718VcDOP_PNG%2F%25BD%25BA%25C6%25E4%25BC%25C8%25B7%25CE%25B0%25EDV3_22%25B3%25E212%25BF%25F9-%25281280x1280%2529.png
69,로칼커피,강남구,삼성동,테이크아웃커피,넓은 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190820_247%2F1566282664912l1h3T_JPEG%2FYAZyDbiyySpSH7Qm_Z7c5eum.jpeg.jpg
70,천장지구,강남구,논현동,"카페,디저트",부드러운 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220929_184%2F1664442520974Kx41u_JPEG%2FSSS.jpg
71,올리버브라운 신논현점,강남구,논현동,"카페,디저트",부드러운 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171026_86%2F1508985507632hXGQr_JPEG%2FMZdJ5G6vpGNd6x91MsgNxmn9.jpg
72,메가MGC커피 강남구청역점,강남구,논현동,카페,부드러운 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211211_55%2F1639207366605thISQ_JPEG%2FKakaoTalk_20211211_162203502.jpg
73,파퓰러커피로스터스,강남구,논현동,"카페,디저트",아늑한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211114_18%2F1636856296830gUilw_JPEG%2F9624DFA5-04F9-40D3-8948-3CC57C8B70F1.jpeg
74,카페 인 웨더,강남구,논현동,"카페,디저트",특별한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211205_159%2F16386621202571PuNi_JPEG%2F20211125_165706.jpg
75,메가MGC커피 논현아크로힐스점,강남구,논현동,카페,특별한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220313_88%2F1647129655950RrCOT_JPEG%2F7D99F5B0-4092-4899-8010-D49C57974413.jpeg
76,리치빈스커피,강남구,논현동,"카페,디저트",특별한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjEwMTNfMjEw%2FMDAxNjY1NjU2MjY3Njgw.SlgckgJZ1EMiFHOgSX5Tn4zSBszwhCV4GbcBA-bOxl0g.aWSXyRfILm5CWGfUOwJazElEHYTHLO4D2jxx_Csoa64g.JPEG.asdfg0519866%2FIMG_9930.jpg
77,카페 첼리스타,강남구,논현동,카페,편한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190609_161%2F1560061640866HJjlr_JPEG%2Fh2jEiBzPfj-l7sgrIt1DeCdv.jpg
78,탠저린 논현점,강남구,논현동,"카페,디저트",넓은 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220208_43%2F1644328230901kfjl5_JPEG%2F1644328180483-4.jpg
79,셀젠느,강남구,논현동,"카페,디저트",넓은 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200317_226%2F1584431941736TDfSk_JPEG%2FEXs8zVQVsYywhtm1JM5A33mR.jpeg.jpg
80,마일드하이클럽,강남구,청담동,뷔페,부드러운 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220916_89%2F16633233653957JKnT_PNG%2FKakaoTalk_Photo_2022-09-16-19-12-54.png
81,브리커피 청담,강남구,청담동,"카페,디저트",부드러운 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200430_2%2F1588244196358jcQix_JPEG%2F7agUy65lCD8hmLWZwys0lVs3.jpeg.jpg
82,오묘한과자점,강남구,청담동,베이글,부드러운 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220728_63%2F16589939979852VK5m_JPEG%2F5E770483-2B96-4DAC-8D7C-300F10C70346.jpeg
83,카멜커피 도산점,강남구,청담동,"카페,디저트",깔끔한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200630_296%2F1593501011059K8liF_JPEG%2FySz6xJrpj0kMeiTdef_TR3tb.jpeg.jpg
84,아티제 청담제일점,강남구,청담동,카페,깔끔한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190729_253%2F156435623114237R1a_JPEG%2FOa7wfxqeGh-_LYw2eqO92CLl.jpg
85,디피오리 청담점,강남구,청담동,베이글,깔끔한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220801_268%2F1659341134495NksJV_JPEG%2FF5FEB00C-E572-4B57-8441-539A8E1B26DD.jpeg
86,포스터리 베이커,강남구,청담동,케이크전문,특별한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220421_108%2F1650524745449t8zvX_JPEG%2FKakaoTalk_Photo_2022-04-21-16-05-02.jpeg
87,카페 디올,강남구,청담동,카페,특별한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200215_134%2F15817375579323iq1m_JPEG%2FCAFE_DIOR_01.jpg
88,공간21s,강남구,청담동,카페,특별한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjEwMjZfMTk4%2FMDAxNjY2NzM1MTczNTkz.uNL3Lpv-m3gI2731NUZP-EYNQq2c4opkmr0onuw8br4g.L--WFFAUEaz-FFIipEGsAaltRkqs_QRvdDwZE2Y06A8g.JPEG.fab_sca%2F1657672299903.jpg
